id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
676	training set	-0.0449	-0.2123	1	160	367	22	2022.1364	26.5	2.4085
677	training time	-0.5877	-0.1035	1	211	547	33	2022.5455	11.9394	0.8377
678	transfer	-0.7274	-0.1911	1	391	1437	97	2021.9072	24.6598	1.1337
679	transfer learning	-0.7606	0.0937	1	523	2900	194	2021.8608	24.6392	1.272
680	transfer learning method	-0.9894	-0.2515	1	82	124	10	2021.3	8.4	0.9052
681	transfer learning model	-0.8762	-0.0426	1	137	308	23	2022.3478	5.4783	0.4811
682	treatment	0.28	0.0072	2	472	2041	123	2021.5447	17.3496	1.0216
683	tree	1.0463	-0.1843	2	348	2471	136	2020.7574	24.3382	0.8063
684	trend	0.1126	0.862	3	217	650	39	2021.9744	23.4359	1.2248
685	trial	1.0463	0.2453	4	169	480	25	2021.04	16.8	0.752
686	turn	-0.3743	0.004	1	153	225	20	2021.05	22.55	0.8744
687	u net	-0.4479	-0.2487	1	148	386	28	2022.9286	10.1786	1.0609
688	uav	0.9813	0.158	2	410	2771	125	2021.448	24.656	1.4665
689	uavs	0.3953	0.8237	3	164	520	27	2021.3333	21.2593	1.0854
690	unet	-0.4718	0.3797	1	101	523	29	2022.7931	8.3448	1.0279
691	union	-0.3994	0.0709	1	245	552	31	2022.4194	10.6774	0.7062
692	unmanned aerial vehicle	0.8781	0.2198	2	393	1636	77	2021.4416	24.5714	1.4887
693	validation accuracy	-0.7778	-0.215	1	216	466	37	2021.7838	19.5405	1.1565
694	validation set	-0.8746	-0.3064	1	70	138	10	2021	28.4	0.9773
695	variable	1.096	-0.056	2	261	768	38	2020.3684	18.7632	0.7816
696	variant	-0.5152	-0.1493	1	131	210	14	2021.7857	6.0714	0.8593
697	vector	0.4611	-0.144	4	187	413	22	2020.7727	8.3636	0.4788
698	vector machine	0.94	-0.9269	6	156	521	21	2020.4286	20.9524	1.0416
699	vegetation	0.8622	0.6247	4	109	222	14	2019.1429	16.6429	0.6178
700	vegetation index	1.2791	0.0782	2	304	1654	73	2021.2603	22.1233	1.1395
701	version	-0.631	0.0486	1	168	279	21	2020.9524	24.9524	1.0416
702	vgg	-0.8353	-0.1389	1	283	1250	82	2022.2683	19.939	1.3139
703	vgg16	-0.8815	-0.2346	1	333	932	57	2021.9123	13.1053	0.8949
704	vgg19	-1.0273	-0.2777	1	234	550	33	2022.5152	4.5152	0.4459
705	vggnet	-0.8891	-0.0347	1	97	243	13	2021	14.2308	0.6511
706	video	-0.0811	-0.0105	4	86	272	19	2020.7895	52.6316	1.6806
707	vine	1.1717	0.2592	2	87	352	14	2022.0714	28.2857	2.574
708	vineyard	0.8585	0.3079	2	159	471	26	2022.2308	12.5385	1.7244
709	viral disease	0.3852	0.3505	4	124	320	22	2021.4545	21.6364	1.0571
710	vis	1.337	0.0278	2	132	319	12	2021.5	22.6667	1.175
711	visible symptom	1.178	-0.1341	4	128	267	17	2020.4706	25.6471	0.7162
712	vision	-0.1394	0.1379	1	569	2748	205	2021.7951	27.9707	1.2155
713	vision transformer	-0.7387	0.2713	1	123	299	23	2023.087	3.6087	2.9723
714	visual inspection	0.3669	0.2579	4	196	361	21	2022.0952	11.6667	1.0011
715	visual observation	-0.0231	-0.346	4	128	192	12	2022.1667	12.3333	0.6188
716	visual symptom	0.6814	0.3315	2	172	438	21	2021.0952	44.8095	1.7854
717	visualization	-0.2977	0.3579	3	161	392	22	2021.3182	22.9545	1.1175
718	vit	-0.7873	0.2483	1	123	356	24	2023.3333	9.4167	1.4355
719	viticulture	0.23	0.1427	2	90	265	16	2022.1875	3.6875	0.5857
720	voc	1.4058	-0.203	6	79	338	24	2020.7083	14	1.0062
721	water	1.0692	0.3605	3	233	789	41	2021.4146	9.4878	0.7298
722	water stress	1.0691	0.5117	3	148	264	12	2021.25	27.5833	0.9439
723	wavelength	1.3254	-0.3075	2	256	1196	56	2020.3571	21.0714	1.0389
724	web	-0.0265	0.4234	3	148	336	19	2022.6842	3.9474	0.4247
725	weed	-0.2331	0.6814	3	249	998	72	2021.5417	31.0833	1.8733
726	week	1.1842	0.2077	2	103	296	13	2021.3846	16.6923	0.475
727	weight	-0.1523	-0.386	6	300	1067	51	2022.1569	23.6078	1.408
728	wheat	0.5207	0.187	4	342	1194	62	2021.6935	17.5806	0.9471
729	wheat plant	1.0226	-0.2231	4	106	333	16	2019.4375	36.625	0.608
730	whitefly	0.08	0.4784	4	67	184	15	2021.1333	10.2	0.3536
731	wild rocket	1.375	0.2801	2	47	178	10	2022.1	8.6	0.4935
732	winter wheat	1.5909	0.2195	2	90	360	12	2018.6667	54.1667	1.4958
733	xception	-1.0444	-0.3295	1	256	838	51	2022.5882	9.7843	0.9301
734	yield prediction	0.3405	1.0318	3	118	314	17	2022.4706	71.0588	1.634
735	yolo	-0.4878	0.5802	1	90	258	22	2022.5909	11.1818	1.8475
